text,date,likes
"RT @JaWernulsa: #Україна #мрій #Зеленського це де родичі платять за свого сина який в полоні 30000$
https://t.co/pqYrhRGuzq",2025-05-24 07:23:45+00:00,0
"RT @zn_ua: ""Грузія 2.0"" чи шлях до Південної Кореї?

JPMorgan заявляє: війна в Україні входить у фінальну фазу.

👉 Читайте ключові прогнози…",2025-05-24 07:22:09+00:00,0
"#UkraineRussiaWar #İstanbul
#Putin #Trump #Sumy #Мединский #KuCoin #Ritual #Romanian #IpinaКременовська #Дворкин #РАЦИРС #Україна   #ОлексійСвятогор #Eurovision2025 https://t.co/xiiwOMh0VV",2025-05-24 07:21:52+00:00,0
"RT @ludmi0701: Сьогодні Києву виповнюється 1543 роки.
Офіційно роком заснування Києва вважається 482 рік.
📍Київ, травень 2025
#київ_фото_lu…",2025-05-24 07:16:29+00:00,0
"Сьогодні Києву виповнюється 1543 роки.
Офіційно роком заснування Києва вважається 482 рік.
📍Київ, травень 2025
#київ_фото_ludmila #life #життя #spring #весна #київ2025  #kyiv #Київ #Україна #Ukraine #travelphotography  #thevillageua  #фото_києва #київбезфільтрів #денькиєва https://t.co/MAd8fg1jO2",2025-05-24 07:14:53+00:00,2
"RT @JaWernulsa: #Україна #мрій #Зеленського це де родичі платять за свого сина який в полоні 30000$
https://t.co/pqYrhRGuzq",2025-05-24 07:14:24+00:00,0
"RT @adrozd83: Скульптура ""Мир"" на станції метро ""Дніпро"" #Київ

Одним зі співавторів скульптури є Флоріан Коцюбинський – онук Михайла Коцюб…",2025-05-24 07:12:44+00:00,0
RT @U_Tribune: Формально МП нібито не має жодних прав на перебування на території Лаври – але їхні представники там досі живуть і служать –…,2025-05-24 06:59:29+00:00,0
"Рік тому, 24 травня 2024року на Оболоні відбулося відкриття мосту Хвиля
Більше у матеріалі: https://t.co/fCoOKef8kx

#Київ #Kyiv #київфото #історіякиєва #київськийкалендар #оболонь #містхвиля https://t.co/Hp4twb0Hc5",2025-05-24 06:59:25+00:00,5
"RT @es_luhanshchyny: Наші вдома 🥹❤️‍🩹

#україна #українці #полон #полонені #обмін #обмінполоненими #герой #герої #війна #новини https://t.c…",2025-05-24 06:58:23+00:00,0
RT @UaCoins: 🔥The favorite tactic of the 🇷🇺Russian Reich's orcs is to pretend to be a tree. 🇺🇦Ukrainian drone operators fully approve of th…,2025-05-24 06:57:37+00:00,0
"😮 Обміняли колаборанта Віктора Кирилова з Херсона, засудженого на 9 років у жовтні 2023. #новини #Україна #обмін
 https://t.co/mLbDkoOJr1",2025-05-24 06:54:52+00:00,0
